wrong,right,memo,出現行,抽出元ファイル,備考
พลังฟีสเซ็นทรัล,แรงเหวี่ยงหนีศูนย์กลาง,遠心力,,AT_mock4.xlsx,
แรงฟีสเซ็นทรัล ,แรงเหวี่ยงหนีศูนย์กลาง,遠心力,,AT_mock4.xlsx,
กฎพลังยาวกลาง,แรงเหวี่ยงหนีศูนย์กลาง,遠心力,,AT_mock4.xlsx,
หัวหน้าตํารวจ,ผู้กำกับการสถานีตำรวจ,警察署長,,AT_mock4.xlsx,
ใบประกาศนียบัตร,ใบอนุญาตขับขี่,運転免許証,,AT_mock4.xlsx,
ใบอนุชาต,ใบอนุญาต,免許証,,AT_mock4.xlsx,
ใบอนุสาท ,ใบอนุญาต,免許証,,AT_mock4.xlsx,
ตัดเข็มขัด,หมุนพวงมาลัย,ハンドル操作,,AT_mock4.xlsx,
ถูกปูน,ลาดยาง,アスファルト舗装,,AT_mock4.xlsx,
อํานวยความสะดวกด้วยรถ,อพยพด้วยรถยนต์,車両避難,,AT_mock4.xlsx,
ภาระ,น้ำหนักบรรทุก,積載重量,,AT_mock4.xlsx,
รถโดยสารทั่วไป,รถโดยสารธรรมดา,路線バス,,AT_mock4.xlsx,
เส้นโค้ง,ทางโค้ง,カーブ（交通用語として自然な表現）,,AT_mock4.xlsx,
เส้นโค่น,ทางโค้ง,カーブ（AIの脱字・誤変換対策）,,AT_mock4.xlsx,
บรรจุภัณฑ์,การบรรทุกสิ่งของ,積載 ,,AT_mock4.xlsx,
ที่บาร์ ,ไหล่ทาง ,路肩,,AT_mock4.xlsx,
เลเวอร์เปลี่ยนรถ ,คันเกียร์ ,ギアレバー,,AT_mock4.xlsx,
อพียูป,อพยพ,避難する,,AT_mock4.xlsx,
ทางเขา ,ทางลาดชัน,勾配のある道（山道）,,AT_mock4.xlsx,
เป็ดเบรค,แป้นเบรก,ブレーキペダル,,AT_mock4.xlsx,2026/01/24追加
ปุ๊บคลาชเชอร์,คลัตช์,クラッチ,,AT_mock4.xlsx,
เลเวอร์เปลี่ยน ,คันเกียร์,ギアレバー,,AT_mock4.xlsx,
ตัดมือจับ,หักแฮนด์,ハンドルを回す,,AT_mock4.xlsx,
น้ําอ่อน,น้ำขัง,水たまり,,AT_mock4.xlsx,
ถนนที่มีความสําคัญ,ทางเอก ,優先道路,,AT_mock4.xlsx,
ดินและน้ําเสีย,ดินโคลนและน้ำ,泥水,,AT_mock4.xlsx,
ภายในทางโดยสาร,ในพื้นที่เขตรางรถไฟ ,軌道敷内,,AT_mock4.xlsx,
ให้เสียงเตือน,บีบแตร,クラクションを鳴らす,,AT_mock4.xlsx,
เครื่องปิดทาง,เครื่องกั้นทางรถไฟ,遮断機,,AT_mock4.xlsx,wrong列が他の誤訳と被りかねないのでは？
เข็มขัดความปลอดภัย,เข็มขัดนิรภัย,シートベルト,,AT_mock4.xlsx,
สปองด์บรีก,อาการเบรกหยุ่นเหมือนเหยียบฟองน้ำ,スポンジを踏んだような感じ,,AT_mock4.xlsx,
จักรยานที่มีเครื่องมือ,รถจักรยานยนต์คันเล็ก,原動機付自転車,,AT_mock4.xlsx,
